Transaction_ID,Date,Amount,Category,Type,Payment_Mode,Merchant,Notes,Month_Num,Month_Name,Day_of_Week,Week_Number,Spend_Bucket,Is_Weekend,Is_Anomaly,Quarter
TXN10199,2024-03-23,3504.47,Groceries,Need,Paytm,Zepto,Zepto payment,3,March,Saturday,12,Large,Yes,No,Q1
TXN10636,2024-08-16,139.06,Entertainment,Want,PhonePe,Hotstar,Hotstar payment,8,August,Friday,33,Small,No,No,Q3
TXN10628,2024-08-13,1818.23,Groceries,Need,BHIM UPI,Blinkit,Blinkit payment,8,August,Tuesday,33,Medium,No,No,Q3
TXN10828,2024-10-19,2367.93,Shopping,Want,GPay,Amazon,Amazon payment,10,October,Saturday,42,Large,Yes,No,Q4
TXN10352,2024-05-23,20021.46,Education,Need,PhonePe,College Fees,College Fees payment,5,May,Thursday,21,Large,No,Yes,Q2
TXN10329,2024-05-16,6438.37,Education,Need,Amazon Pay,upGrad,upGrad payment,5,May,Thursday,20,Large,No,No,Q2
TXN10981,2024-12-20,528.34,Shopping,Want,GPay,Meesho,Meesho payment,12,December,Friday,51,Medium,No,No,Q4
TXN10837,2024-10-23,24072.67,Travel,Want,PhonePe,OYO,OYO payment,10,October,Wednesday,43,Large,No,Yes,Q4
TXN10244,2024-04-13,320.92,Food & Dining,Need,Amazon Pay,Swiggy,Swiggy payment,4,April,Saturday,15,Small,Yes,No,Q2
TXN10286,2024-04-28,3683.51,Bills & Utilities,Need,PhonePe,Jio,Jio payment,4,April,Sunday,17,Large,Yes,No,Q2
TXN10289,2024-05-02,837.0,Health & Medical,Need,Paytm,1mg,1mg payment,5,May,Thursday,18,Medium,No,No,Q2
TXN10598,2024-08-04,838.73,Health & Medical,Need,PhonePe,Apollo Pharmacy,Apollo Pharmacy payment,8,August,Sunday,31,Medium,Yes,No,Q3
TXN10761,2024-09-25,299.07,Entertainment,Want,Paytm,Netflix,Netflix payment,9,September,Wednesday,39,Small,No,No,Q3
TXN10059,2024-01-23,3034.36,Bills & Utilities,Need,PhonePe,LPG Booking,LPG Booking payment,1,January,Tuesday,4,Large,No,No,Q1
TXN10622,2024-08-12,1727.01,Shopping,Want,PhonePe,Meesho,Meesho payment,8,August,Monday,33,Medium,No,No,Q3
TXN10318,2024-05-13,1159.44,Miscellaneous,Want,PhonePe,Salon,Salon payment,5,May,Monday,20,Medium,No,No,Q2
TXN10010,2024-01-07,1610.75,Shopping,Want,PhonePe,Meesho,Meesho payment,1,January,Sunday,1,Medium,Yes,No,Q1
TXN10237,2024-04-11,2723.21,Food & Dining,Need,PhonePe,Local Dhaba,No Description,4,April,Thursday,15,Large,No,No,Q2
TXN10331,2024-05-17,2989.79,Travel,Want,Paytm,Airbnb,Airbnb payment,5,May,Friday,20,Large,No,No,Q2
TXN10705,2024-09-08,3201.16,Shopping,Want,Paytm,Nykaa,Nykaa payment,9,September,Sunday,36,Large,Yes,No,Q3
TXN10086,2024-02-05,346.26,Transport,Need,GPay,Uber,No Description,2,February,Monday,6,Small,No,No,Q1
TXN10803,2024-10-11,5351.92,Education,Need,GPay,Coursera,Coursera payment,10,October,Friday,41,Large,No,No,Q4
TXN10174,2024-03-12,518.78,Transport,Need,GPay,Ola,Ola payment,3,March,Tuesday,11,Medium,No,No,Q1
TXN10312,2024-05-09,173.19,Transport,Need,GPay,Uber,Uber payment,5,May,Thursday,19,Small,No,No,Q2
TXN10462,2024-06-24,1760.97,Shopping,Want,PhonePe,Nykaa,Nykaa payment,6,June,Monday,26,Medium,No,No,Q2
TXN10218,2024-04-04,204.42,Food & Dining,Need,GPay,Zomato,Zomato payment,4,April,Thursday,14,Small,No,No,Q2
TXN10030,2024-01-12,189.03,Food & Dining,Need,Paytm,McDonald's,McDonald's payment,1,January,Friday,2,Small,No,No,Q1
TXN10547,2024-07-18,317.88,Entertainment,Want,Paytm,BookMyShow,BookMyShow payment,7,July,Thursday,29,Small,No,No,Q3
TXN10664,2024-08-24,1497.46,Bills & Utilities,Need,GPay,LPG Booking,LPG Booking payment,8,August,Saturday,34,Medium,Yes,No,Q3
TXN10054,2024-01-21,5199.71,Shopping,Want,Paytm,Ajio,Ajio payment,1,January,Sunday,3,Large,Yes,No,Q1
TXN10023,2024-01-10,1617.05,Travel,Want,BHIM UPI,Goibibo,Goibibo payment,1,January,Wednesday,2,Medium,No,No,Q1
TXN10256,2024-04-17,1305.45,Groceries,Need,BHIM UPI,BigBasket,BigBasket payment,4,April,Wednesday,16,Medium,No,No,Q2
TXN10450,2024-06-22,4023.7,Education,Need,GPay,Unacademy,Unacademy payment,6,June,Saturday,25,Large,Yes,No,Q2
TXN10003,2024-01-03,1411.33,Groceries,Need,BHIM UPI,BigBasket,BigBasket payment,1,January,Wednesday,1,Medium,No,No,Q1
TXN10833,2024-10-21,358.08,Transport,Need,Paytm,Ola,No Description,10,October,Monday,43,Small,No,No,Q4
TXN10552,2024-07-19,695.82,Groceries,Need,Amazon Pay,DMart,DMart payment,7,July,Friday,29,Medium,No,No,Q3
TXN10638,2024-08-16,1189.12,Bills & Utilities,Need,GPay,BESCOM,BESCOM payment,8,August,Friday,33,Medium,No,No,Q3
TXN10477,2024-06-27,149.43,Subscriptions,Want,Paytm,Netflix,Netflix payment,6,June,Thursday,26,Small,No,No,Q2
TXN10956,2024-12-08,7975.23,Travel,Want,PhonePe,Airbnb,Airbnb payment,12,December,Sunday,49,Large,Yes,Yes,Q4
TXN10662,2024-08-23,1870.17,Bills & Utilities,Need,PhonePe,LPG Booking,LPG Booking payment,8,August,Friday,34,Medium,No,No,Q3
TXN10518,2024-07-10,187.7,Food & Dining,Need,PhonePe,Zomato,Zomato payment,7,July,Wednesday,28,Small,No,No,Q3
TXN10960,2024-12-09,2851.37,Subscriptions,Want,Paytm,iCloud,iCloud payment,12,December,Monday,50,Large,No,No,Q4
TXN10953,2024-12-05,7686.81,Groceries,Need,BHIM UPI,Reliance Fresh,Reliance Fresh payment,12,December,Thursday,49,Large,No,Yes,Q4
TXN10979,2024-12-20,1649.51,Groceries,Need,Paytm,Blinkit,Blinkit payment,12,December,Friday,51,Medium,No,No,Q4
TXN10575,2024-07-26,144.14,Entertainment,Want,PhonePe,Netflix,Netflix payment,7,July,Friday,30,Small,No,No,Q3
TXN10539,2024-07-15,429.43,Health & Medical,Need,Paytm,Netmeds,Netmeds payment,7,July,Monday,29,Small,No,No,Q3
TXN10215,2024-04-03,740.55,Food & Dining,Need,GPay,Swiggy,Swiggy payment,4,April,Wednesday,14,Medium,No,No,Q2
TXN10737,2024-09-16,1994.43,Education,Need,BHIM UPI,Unacademy,Unacademy payment,9,September,Monday,38,Medium,No,No,Q3
TXN10998,2024-12-28,2319.13,Education,Need,BHIM UPI,College Fees,College Fees payment,12,December,Saturday,52,Large,Yes,No,Q4
TXN10713,2024-09-10,450.61,Subscriptions,Want,GPay,Netflix,Netflix payment,9,September,Tuesday,37,Small,No,No,Q3
TXN10667,2024-08-25,1878.18,Health & Medical,Need,GPay,Medplus,No Description,8,August,Sunday,34,Medium,Yes,No,Q3
TXN10039,2024-01-15,2527.75,Bills & Utilities,Need,GPay,Tata Sky,Tata Sky payment,1,January,Monday,3,Large,No,No,Q1
TXN10231,2024-04-08,741.52,Food & Dining,Need,BHIM UPI,Dominos,Dominos payment,4,April,Monday,15,Medium,No,No,Q2
TXN10494,2024-07-04,2043.21,Groceries,Need,PhonePe,DMart,DMart payment,7,July,Thursday,27,Large,No,No,Q3
TXN10704,2024-09-08,993.34,Subscriptions,Want,GPay,Hotstar,Hotstar payment,9,September,Sunday,36,Medium,Yes,No,Q3
TXN10967,2024-12-13,2964.06,Bills & Utilities,Need,BHIM UPI,Tata Sky,Tata Sky payment,12,December,Friday,50,Large,No,No,Q4
TXN10066,2024-01-25,2788.64,Shopping,Want,Paytm,Myntra,Myntra payment,1,January,Thursday,4,Large,No,No,Q1
TXN10294,2024-05-04,991.54,Bills & Utilities,Need,GPay,BESCOM,BESCOM payment,5,May,Saturday,18,Medium,Yes,No,Q2
TXN10067,2024-01-25,298.33,Miscellaneous,Want,Amazon Pay,ATM Withdrawal,ATM Withdrawal payment,1,January,Thursday,4,Small,No,No,Q1
TXN10479,2024-06-28,1168.28,Entertainment,Want,PhonePe,YouTube Premium,YouTube Premium payment,6,June,Friday,26,Medium,No,No,Q2
TXN10328,2024-05-16,550.43,Food & Dining,Need,GPay,McDonald's,No Description,5,May,Thursday,20,Medium,No,No,Q2
TXN10626,2024-08-13,2388.94,Shopping,Want,Paytm,Nykaa,Nykaa payment,8,August,Tuesday,33,Large,No,No,Q3
TXN10107,2024-02-14,625.22,Entertainment,Want,Paytm,Netflix,Netflix payment,2,February,Wednesday,7,Medium,No,No,Q1
TXN10983,2024-12-21,331.24,Transport,Need,GPay,Uber,Uber payment,12,December,Saturday,51,Small,Yes,No,Q4
TXN10346,2024-05-21,569.46,Subscriptions,Want,GPay,Spotify,Spotify payment,5,May,Tuesday,21,Medium,No,No,Q2
TXN10298,2024-05-05,1244.9,Groceries,Need,PhonePe,Local Kirana,Local Kirana payment,5,May,Sunday,18,Medium,Yes,No,Q2
TXN10643,2024-08-17,1044.24,Entertainment,Want,GPay,Spotify,Spotify payment,8,August,Saturday,33,Medium,Yes,No,Q3
TXN10307,2024-05-07,654.93,Subscriptions,Want,GPay,Netflix,Netflix payment,5,May,Tuesday,19,Medium,No,No,Q2
TXN10854,2024-10-27,874.78,Subscriptions,Want,Paytm,iCloud,iCloud payment,10,October,Sunday,43,Medium,Yes,No,Q4
TXN10506,2024-07-07,977.9,Miscellaneous,Want,BHIM UPI,Donation,Donation payment,7,July,Sunday,27,Medium,Yes,No,Q3
TXN10296,2024-05-05,5353.17,Shopping,Want,GPay,Flipkart,Flipkart payment,5,May,Sunday,18,Large,Yes,No,Q2
TXN10880,2024-11-09,2437.12,Health & Medical,Need,GPay,1mg,1mg payment,11,November,Saturday,45,Large,Yes,No,Q4
TXN10666,2024-08-24,5972.86,Education,Need,PhonePe,Udemy,Udemy payment,8,August,Saturday,34,Large,Yes,No,Q3
TXN10100,2024-02-09,596.89,Shopping,Want,BHIM UPI,Ajio,Ajio payment,2,February,Friday,6,Medium,No,No,Q1
TXN10088,2024-02-06,309.59,Transport,Need,Paytm,Local Auto,Local Auto payment,2,February,Tuesday,6,Small,No,No,Q1
TXN10063,2024-01-24,489.23,Shopping,Want,BHIM UPI,Meesho,No Description,1,January,Wednesday,4,Small,No,No,Q1
TXN10843,2024-10-25,907.98,Miscellaneous,Want,GPay,ATM Withdrawal,ATM Withdrawal payment,10,October,Friday,43,Medium,No,No,Q4
TXN10888,2024-11-11,1294.66,Entertainment,Want,GPay,BookMyShow,BookMyShow payment,11,November,Monday,46,Medium,No,No,Q4
TXN10139,2024-02-24,3501.5,Travel,Want,GPay,Yatra,Yatra payment,2,February,Saturday,8,Large,Yes,No,Q1
TXN10757,2024-09-23,87.4,Food & Dining,Need,GPay,Swiggy,Swiggy payment,9,September,Monday,39,Small,No,No,Q3
TXN10615,2024-08-10,307.15,Miscellaneous,Want,Paytm,Repair Shop,Repair Shop payment,8,August,Saturday,32,Small,Yes,No,Q3
TXN10499,2024-07-05,5763.11,Entertainment,Want,Paytm,Netflix,Netflix payment,7,July,Friday,27,Large,No,No,Q3
TXN10665,2024-08-24,623.77,Bills & Utilities,Need,Paytm,LPG Booking,LPG Booking payment,8,August,Saturday,34,Medium,Yes,No,Q3
TXN10584,2024-07-28,99.26,Entertainment,Want,GPay,Spotify,Spotify payment,7,July,Sunday,30,Small,Yes,No,Q3
TXN10109,2024-02-14,611.33,Shopping,Want,PhonePe,Flipkart,Flipkart payment,2,February,Wednesday,7,Medium,No,No,Q1
TXN10916,2024-11-20,1757.38,Bills & Utilities,Need,GPay,Jio,Jio payment,11,November,Wednesday,47,Medium,No,No,Q4
TXN10650,2024-08-18,528.21,Food & Dining,Need,PhonePe,Cafe Coffee Day,Cafe Coffee Day payment,8,August,Sunday,33,Medium,Yes,No,Q3
TXN10533,2024-07-14,923.2,Subscriptions,Want,BHIM UPI,iCloud,iCloud payment,7,July,Sunday,28,Medium,Yes,No,Q3
TXN10445,2024-06-21,2883.88,Groceries,Need,GPay,Blinkit,Blinkit payment,6,June,Friday,25,Large,No,No,Q2
TXN10605,2024-08-06,582.99,Food & Dining,Need,GPay,Dominos,Dominos payment,8,August,Tuesday,32,Medium,No,No,Q3
TXN10136,2024-02-23,1208.93,Health & Medical,Need,Paytm,Fortis Hospital,Fortis Hospital payment,2,February,Friday,8,Medium,No,No,Q1
TXN10811,2024-10-14,203.56,Transport,Need,PhonePe,Local Auto,Local Auto payment,10,October,Monday,42,Small,No,No,Q4
TXN10514,2024-07-09,4821.74,Travel,Want,BHIM UPI,Airbnb,Airbnb payment,7,July,Tuesday,28,Large,No,No,Q3
TXN10753,2024-09-21,386.64,Transport,Need,GPay,Rapido,No Description,9,September,Saturday,38,Small,Yes,No,Q3
TXN10158,2024-03-06,2124.53,Health & Medical,Need,PhonePe,Medplus,Medplus payment,3,March,Wednesday,10,Large,No,No,Q1
TXN10310,2024-05-09,732.95,Food & Dining,Need,BHIM UPI,Cafe Coffee Day,Cafe Coffee Day payment,5,May,Thursday,19,Medium,No,No,Q2
TXN10327,2024-05-15,492.59,Food & Dining,Need,GPay,McDonald's,McDonald's payment,5,May,Wednesday,20,Small,No,No,Q2
TXN10935,2024-11-27,151.16,Miscellaneous,Want,GPay,Salon,Salon payment,11,November,Wednesday,48,Small,No,No,Q4
TXN10254,2024-04-16,2187.14,Shopping,Want,Paytm,Flipkart,Flipkart payment,4,April,Tuesday,16,Large,No,No,Q2
TXN10275,2024-04-24,694.75,Food & Dining,Need,Paytm,Zomato,Zomato payment,4,April,Wednesday,17,Medium,No,No,Q2
TXN10901,2024-11-15,335.77,Transport,Need,Paytm,Local Auto,Local Auto payment,11,November,Friday,46,Small,No,No,Q4
TXN10184,2024-03-19,587.67,Health & Medical,Need,Paytm,Netmeds,Netmeds payment,3,March,Tuesday,12,Medium,No,No,Q1
TXN10582,2024-07-28,1714.27,Health & Medical,Need,GPay,1mg,1mg payment,7,July,Sunday,30,Medium,Yes,No,Q3
TXN10660,2024-08-22,2710.23,Groceries,Need,GPay,Zepto,No Description,8,August,Thursday,34,Large,No,No,Q3
TXN10896,2024-11-13,759.42,Food & Dining,Need,GPay,Dominos,Dominos payment,11,November,Wednesday,46,Medium,No,No,Q4
TXN10209,2024-04-02,942.02,Groceries,Need,GPay,Blinkit,Blinkit payment,4,April,Tuesday,14,Medium,No,No,Q2
TXN10168,2024-03-10,461.91,Transport,Need,Paytm,Local Auto,Local Auto payment,3,March,Sunday,10,Small,Yes,No,Q1
TXN10866,2024-11-03,802.85,Shopping,Want,GPay,Amazon,No Description,11,November,Sunday,44,Medium,Yes,No,Q4
TXN10280,2024-04-26,2170.36,Bills & Utilities,Need,GPay,LPG Booking,LPG Booking payment,4,April,Friday,17,Large,No,No,Q2
TXN10899,2024-11-14,426.46,Transport,Need,BHIM UPI,Local Auto,Local Auto payment,11,November,Thursday,46,Small,No,No,Q4
TXN10541,2024-07-16,1178.01,Health & Medical,Need,GPay,Fortis Hospital,Fortis Hospital payment,7,July,Tuesday,29,Medium,No,No,Q3
TXN10055,2024-01-21,870.54,Groceries,Need,GPay,Zepto,Zepto payment,1,January,Sunday,3,Medium,Yes,No,Q1
TXN10120,2024-02-17,1789.6,Groceries,Need,GPay,DMart,DMart payment,2,February,Saturday,7,Medium,Yes,No,Q1
TXN10554,2024-07-20,4115.8,Travel,Want,PhonePe,Airbnb,Airbnb payment,7,July,Saturday,29,Large,Yes,No,Q3
TXN10025,2024-01-11,1867.51,Bills & Utilities,Need,PhonePe,MPPKVVCL,MPPKVVCL payment,1,January,Thursday,2,Medium,No,No,Q1
TXN10072,2024-01-27,545.09,Food & Dining,Need,Paytm,Zomato,Zomato payment,1,January,Saturday,4,Medium,Yes,No,Q1
TXN10538,2024-07-15,594.41,Transport,Need,Amazon Pay,Rapido,Rapido payment,7,July,Monday,29,Medium,No,No,Q3
TXN10044,2024-01-17,2580.93,Groceries,Need,GPay,Blinkit,Blinkit payment,1,January,Wednesday,3,Large,No,No,Q1
TXN10497,2024-07-05,217.96,Food & Dining,Need,GPay,Cafe Coffee Day,Cafe Coffee Day payment,7,July,Friday,27,Small,No,No,Q3
TXN10198,2024-03-23,1322.19,Health & Medical,Need,GPay,1mg,1mg payment,3,March,Saturday,12,Medium,Yes,No,Q1
TXN10377,2024-06-03,972.58,Shopping,Want,GPay,Myntra,Myntra payment,6,June,Monday,23,Medium,No,No,Q2
TXN10314,2024-05-11,1477.57,Entertainment,Want,GPay,Spotify,Spotify payment,5,May,Saturday,19,Medium,Yes,No,Q2
TXN10718,2024-09-11,2832.65,Shopping,Want,PhonePe,Nykaa,Nykaa payment,9,September,Wednesday,37,Large,No,No,Q3
TXN10208,2024-04-01,306.1,Food & Dining,Need,GPay,Dominos,Dominos payment,4,April,Monday,14,Small,No,No,Q2
TXN10721,2024-09-13,2550.13,Groceries,Need,Paytm,Zepto,Zepto payment,9,September,Friday,37,Large,No,No,Q3
TXN10918,2024-11-20,529.68,Groceries,Need,GPay,Reliance Fresh,Reliance Fresh payment,11,November,Wednesday,47,Medium,No,No,Q4
TXN10535,2024-07-14,1762.46,Groceries,Need,GPay,Blinkit,Blinkit payment,7,July,Sunday,28,Medium,Yes,No,Q3
TXN10695,2024-09-05,1127.87,Miscellaneous,Want,GPay,Repair Shop,Repair Shop payment,9,September,Thursday,36,Medium,No,No,Q3
TXN10604,2024-08-06,4873.67,Shopping,Want,Paytm,Meesho,Meesho payment,8,August,Tuesday,32,Large,No,No,Q3
TXN10590,2024-08-01,1093.29,Health & Medical,Need,PhonePe,Medplus,Medplus payment,8,August,Thursday,31,Medium,No,No,Q3
TXN10290,2024-05-03,1383.36,Education,Need,GPay,upGrad,upGrad payment,5,May,Friday,18,Medium,No,No,Q2
TXN10959,2024-12-09,3526.33,Shopping,Want,PhonePe,Myntra,Myntra payment,12,December,Monday,50,Large,No,No,Q4
TXN10332,2024-05-17,747.31,Shopping,Want,Paytm,Flipkart,No Description,5,May,Friday,20,Medium,No,No,Q2
TXN10210,2024-04-02,1547.93,Health & Medical,Need,GPay,1mg,1mg payment,4,April,Tuesday,14,Medium,No,No,Q2
TXN10342,2024-05-20,1428.6,Health & Medical,Need,GPay,Medplus,Medplus payment,5,May,Monday,21,Medium,No,No,Q2
TXN10060,2024-01-23,4327.82,Education,Need,Paytm,College Fees,College Fees payment,1,January,Tuesday,4,Large,No,No,Q1
TXN10344,2024-05-21,538.55,Food & Dining,Need,Paytm,Dominos,Dominos payment,5,May,Tuesday,21,Medium,No,No,Q2
TXN10890,2024-11-11,2592.28,Shopping,Want,BHIM UPI,Flipkart,Flipkart payment,11,November,Monday,46,Large,No,No,Q4
TXN10711,2024-09-09,2941.21,Bills & Utilities,Need,BHIM UPI,MPPKVVCL,MPPKVVCL payment,9,September,Monday,37,Large,No,No,Q3
TXN10467,2024-06-24,13454.62,Bills & Utilities,Need,Amazon Pay,MPPKVVCL,MPPKVVCL payment,6,June,Monday,26,Large,No,Yes,Q2
TXN10423,2024-06-15,4741.3,Shopping,Want,PhonePe,Flipkart,Flipkart payment,6,June,Saturday,24,Large,Yes,No,Q2
TXN10259,2024-04-19,272.53,Transport,Need,Amazon Pay,Local Auto,Local Auto payment,4,April,Friday,16,Small,No,No,Q2
TXN10780,2024-10-03,699.46,Food & Dining,Need,GPay,Cafe Coffee Day,Cafe Coffee Day payment,10,October,Thursday,40,Medium,No,No,Q4
TXN10405,2024-06-10,3063.36,Shopping,Want,GPay,Meesho,Meesho payment,6,June,Monday,24,Large,No,No,Q2
TXN10788,2024-10-05,2677.5,Bills & Utilities,Need,PhonePe,MPPKVVCL,MPPKVVCL payment,10,October,Saturday,40,Large,Yes,No,Q4
TXN10767,2024-09-27,188.54,Transport,Need,BHIM UPI,Uber,Uber payment,9,September,Friday,39,Small,No,No,Q3
TXN10483,2024-07-01,200.64,Subscriptions,Want,Paytm,Amazon Prime,No Description,7,July,Monday,27,Small,No,No,Q3
TXN10530,2024-07-13,5278.19,Education,Need,Amazon Pay,upGrad,upGrad payment,7,July,Saturday,28,Large,Yes,No,Q3
TXN10810,2024-10-14,1343.45,Groceries,Need,BHIM UPI,BigBasket,BigBasket payment,10,October,Monday,42,Medium,No,No,Q4
TXN10999,2024-12-28,130.79,Transport,Need,GPay,Ola,Ola payment,12,December,Saturday,52,Small,Yes,No,Q4
TXN10966,2024-12-12,5197.23,Travel,Want,GPay,IRCTC,IRCTC payment,12,December,Thursday,50,Large,No,No,Q4
TXN10110,2024-02-14,592.41,Food & Dining,Need,Paytm,Cafe Coffee Day,Cafe Coffee Day payment,2,February,Wednesday,7,Medium,No,No,Q1
TXN10995,2024-12-26,941.59,Entertainment,Want,GPay,PVR Cinemas,PVR Cinemas payment,12,December,Thursday,52,Medium,No,No,Q4
TXN10558,2024-07-21,2872.73,Shopping,Want,BHIM UPI,Meesho,Meesho payment,7,July,Sunday,29,Large,Yes,No,Q3
TXN10793,2024-10-07,3644.99,Shopping,Want,PhonePe,Nykaa,Nykaa payment,10,October,Monday,41,Large,No,No,Q4
TXN10936,2024-11-27,1532.16,Bills & Utilities,Need,GPay,Airtel,Airtel payment,11,November,Wednesday,48,Medium,No,No,Q4
TXN10919,2024-11-20,754.85,Bills & Utilities,Need,PhonePe,Airtel,Airtel payment,11,November,Wednesday,47,Medium,No,No,Q4
TXN10942,2024-12-03,1215.84,Miscellaneous,Want,BHIM UPI,Repair Shop,Repair Shop payment,12,December,Tuesday,49,Medium,No,No,Q4
TXN10319,2024-05-13,8422.32,Health & Medical,Need,BHIM UPI,Medplus,Medplus payment,5,May,Monday,20,Large,No,Yes,Q2
TXN10516,2024-07-09,7008.73,Travel,Want,BHIM UPI,Goibibo,Goibibo payment,7,July,Tuesday,28,Large,No,Yes,Q3
TXN10449,2024-06-22,603.55,Food & Dining,Need,GPay,McDonald's,McDonald's payment,6,June,Saturday,25,Medium,Yes,No,Q2
TXN10783,2024-10-03,583.11,Transport,Need,PhonePe,Rapido,Rapido payment,10,October,Thursday,40,Medium,No,No,Q4
